file,functions,sum_ccn,max_ccn,avg_ccn,over20,nloc
src/nxt_unit.c,171,839,34,4.91,4,4865
src/nxt_router.c,131,741,86,5.66,3,4432
src/nxt_conf_validation.c,102,467,23,4.58,3,2158
src/nxt_conf.c,57,417,54,7.32,6,1747
src/nxt_h1proto.c,68,322,37,4.74,2,1813
src/nxt_controller.c,45,295,39,6.56,3,1754
src/nxt_http_route.c,42,277,32,6.60,3,1340
src/nxt_http_static.c,26,272,71,10.46,4,1213
src/nxt_http_request.c,41,244,20,5.95,0,999
src/nxt_port_socket.c,42,229,34,5.45,3,1158
src/nxt_runtime.c,47,228,32,4.85,2,1299
src/nxt_isolation.c,23,206,32,8.96,2,833
src/nxt_http_parse.c,16,189,64,11.81,2,810
src/nxt_main_process.c,27,185,23,6.85,3,1022
src/nxt_application.c,32,176,22,5.50,1,943
src/nxt_cert.c,23,157,25,6.83,1,891
src/nxt_sockaddr.c,18,140,22,7.78,1,576
src/nxt_process.c,31,139,15,4.48,0,746
src/nxt_http_compression.c,18,138,34,7.67,1,630
src/nxt_php_sapi.c,22,136,13,6.18,0,614
src/nxt_string.c,22,127,23,5.77,1,527
src/nxt_epoll_engine.c,31,117,23,3.77,1,545
src/nxt_file.c,32,115,16,3.59,0,504
src/nxt_otel.c,25,112,15,4.48,0,441
src/nxt_port_memory.c,17,112,11,6.59,0,637
src/nxt_port.c,27,111,23,4.11,1,608
src/nxt_h1proto_websocket.c,17,109,26,6.41,2,567
src/nxt_mp.c,31,107,12,3.45,0,546
src/nxt_kqueue_engine.c,32,104,28,3.25,1,550
src/nxt_sprintf.c,4,101,82,25.25,1,438
src/nxt_lvlhsh.c,21,97,13,4.62,0,512
src/nxt_time_parse.c,2,89,57,44.50,2,335
src/nxt_var.c,17,88,14,5.18,0,402
src/nxt_java.c,10,85,37,8.50,1,497
src/nxt_conn_write.c,12,80,21,6.67,1,339
src/nxt_event_engine.c,21,80,11,3.81,0,444
src/nxt_conn_proxy.c,27,77,9,2.85,0,478
src/nxt_http_variables.c,25,75,14,3.00,0,435
src/nxt_script.c,18,75,16,4.17,0,467
src/nxt_poll_engine.c,22,73,20,3.32,0,367
src/nxt_eventport_engine.c,21,70,25,3.33,1,336
src/nxt_socket.c,11,69,13,6.27,0,220
src/nxt_sendbuf.c,9,67,14,7.44,0,284
src/nxt_pollset_engine.c,19,66,17,3.47,0,352
src/nxt_devpoll_engine.c,19,65,17,3.42,0,351
src/nxt_clone.c,6,62,30,10.33,1,295
src/nxt_router_access_log.c,15,61,10,4.07,0,374
src/nxt_capability.c,9,58,18,6.44,0,235
src/nxt_http_route_addr.c,2,56,52,28.00,1,241
src/nxt_tstr.c,12,56,12,4.67,0,217
src/nxt_js.c,12,54,9,4.50,0,326
src/nxt_port_rpc.c,20,54,7,2.70,0,380
src/nxt_thread_time.c,12,54,17,4.50,0,226
src/nxt_http_chunk_parse.c,3,51,45,17.00,1,225
src/nxt_listen_socket.c,6,51,31,8.50,1,219
src/nxt_parse.c,6,50,15,8.33,0,193
src/nxt_rbtree.c,12,47,10,3.92,0,275
src/nxt_http_set_headers.c,5,45,20,9.00,0,176
src/nxt_select_engine.c,15,45,14,3.00,0,200
src/nxt_credential.c,5,43,11,8.60,0,203
src/nxt_cgroup.c,6,41,11,6.83,0,177
src/nxt_http_js.c,10,39,7,3.90,0,216
src/nxt_http_proxy.c,19,37,6,1.95,0,266
src/nxt_socket_msg.h,5,37,19,7.40,0,112
src/nxt_buf.c,13,35,6,2.69,0,207
src/nxt_conn_accept.c,11,35,7,3.18,0,230
src/nxt_conn_read.c,4,35,14,8.75,0,161
src/nxt_utf8.c,6,34,12,5.67,0,161
src/nxt_fs_mount.c,4,33,18,8.25,0,163
src/nxt_timer.c,9,33,7,3.67,0,193
src/nxt_file_name.c,1,32,32,32.00,1,131
